"categorieSetId","categorieId","title","categorieSetNumber"
"352","NIL","VOID","VOID"
"353","NIL","VOID","VOID"
"354","NIL","VOID","VOID"
"355","NIL","VOID","VOID"
"356","NIL","VOID","VOID"
"357","NIL","VOID","VOID"
"358","NIL","VOID","VOID"
"359","NIL","VOID","VOID"
"360","NIL","VOID","VOID"
"361","NIL","VOID","VOID"
"362","NIL","VOID","VOID"
"363","NIL","VOID","VOID"
"364","NIL","VOID","VOID"
"365","NIL","VOID","VOID"
"366","NIL","VOID","VOID"
"367","NIL","VOID","VOID"
"368","NIL","VOID","VOID"
"369","NIL","VOID","VOID"
"370","NIL","VOID","VOID"
"371","7","Campingplätze, med. genutzte Räume","7.20.4"
"372","NIL","VOID","VOID"
"373","7","PV-Anlagen, Beleuchtungsanlagen im Freien","7.20.5"
"374","NIL","VOID","VOID"
"375","7","Leitungen","7.13"
"376","7","Elektrische Verbindungen","7.14"
"377","7","Trennen und Schalten","7.15"
"378","7","Steckvorrichtungen","7.16"
"379","7","Fehlerstrom-Schutzeinrichtungen","7.17"
"380","7","Schaltgerätekombinationen","7.18"
"382","7","Prüfung und Kontrolle","7.19"
"383","7","Räume und Bereiche besonderer Art","7.20"
"385","7","Basis- und Fehlerschutz","7.8.1"
"386","7","Schutz-Potenzialausgleich","7.8.2"
"387","7","System TN","7.8.3"
"388","7","Sonderisolierung, Schutztrennung, ELV","7.8.4"
"389","7","Erder, Spannungstrichter","7.9.1"
"390","7","Fundament-, Band- und Staberder","7.9.2"
"391","7","Erdungs-, Schutz- und PEN-Leiter","7.9.3"
"392","7","Unterscheidung der Brennbarkeit","7.10.1"
"393","7","Heizöfen, Heizstrahler, Gebläse-Heizsysteme","7.10.2"
"394","7","Warmwasser- und Dampferzeuger","7.10.3"
"395","7","Überstrom-Schutzeinrichtungen","7.11.1"
"396","7","Überlast- und Kurzschlussschutz","7.11.2"
"397","7","Allgemeines, Geltungsbereich","7.12.1"
"398","7","Kennzeichnung von Leitern und Leitungen","7.13.1"
"399","7","Rohrarten, Bemessung der Rohre","7.13.2"
"400","7","Ortsverändverliche Leitungen","7.13.3"
"401","7","Bemessung ortsfester Leitungen","7.13.4"
"402","7","Zusammenfassung Leiterquerschnitte","7.13.5"
"403","7","Verbindungsstellen","7.14.1"
"404","7","Trennstellen","7.15.1"
"405","7","Schalter für Wartungsarbeiten, Not-Aus","7.15.2"
"406","7","Schalter für betriebsmässiges Schalten","7.15.3"
"407","7","Wahl, Anschluss und Bemessung","7.16.1"
"408","7","Aufbau und Funktion","7.17.1"
"409","7","Anwendung, Ursachen von Fehlauslösungen","7.17.2"
"410","7","Anordnung, Kennzeichnung, Basisschutz","7.18.1"
"411","7","Schutz gegen Überlast, Montage","7.19.1"
"412","7","Erstprüfung, Isolationswiderstände","7.19.1"
"413","7","Räume mit Badewanne oder Dusche","7.20.1"
"414","7","Schwimmbecken, Sauna","7.20.2"
"415","7","Baustellen, landwirtschaftliche Betriebsstätten","7.20.3"
"416","7","Kleinspannungsbeleuchtungsanlagen","7.20.6"
"417","7","Campingplätze, explosive Bereiche","7.21.5"
"418","7","Professionelle Verbindungstechnik","7.14.2"
"601","NIL","VOID","VOID"
"602","NIL","VOID","VOID"
"603","NIL","VOID","VOID"
"604","NIL","VOID","VOID"
"605","NIL","VOID","VOID"
"606","NIL","VOID","VOID"
"607","NIL","VOID","VOID"
"608","NIL","VOID","VOID"
"609","NIL","VOID","VOID"
"610","NIL","VOID","VOID"
"611","NIL","VOID","VOID"
"612","NIL","VOID","VOID"
"613","NIL","VOID","VOID"
"614","NIL","VOID","VOID"
"615","NIL","VOID","VOID"
"616","NIL","VOID","VOID"
"617","NIL","VOID","VOID"
"618","NIL","VOID","VOID"
"619","NIL","VOID","VOID"
"620","NIL","VOID","VOID"
"621","NIL","VOID","VOID"
"622","NIL","VOID","VOID"
"623","NIL","VOID","VOID"
"624","NIL","VOID","VOID"
"625","NIL","VOID","VOID"
"626","NIL","VOID","VOID"
"627","NIL","VOID","VOID"
"628","NIL","VOID","VOID"
"629","NIL","VOID","VOID"
"630","NIL","VOID","VOID"
"631","NIL","VOID","VOID"
"632","NIL","VOID","VOID"
"633","NIL","VOID","VOID"
"634","NIL","VOID","VOID"
"635","NIL","VOID","VOID"
"636","NIL","VOID","VOID"
"637","NIL","VOID","VOID"
"638","NIL","VOID","VOID"
"639","NIL","VOID","VOID"
"640","2","Physik","2"
"641","2","Grössen und Einheiten","2.1"
"642","2","Grössen und Einheiten","2.1.1"
"643","2","Bewegungslehre","2.2"
"644","2","Geschwindigkeit","2.2.1"
"645","2","Beschleunigung","2.2.2"
"646","2","Kreisbewegung","2.2.3"
"647","NIL","VOID","VOID"
"648","2","Mechanische Arbeit & Leistung","2.3"
"649","NIL","VOID","VOID"
"650","2","Kraft","2.3.1"
"651","2","Drehmoment, Hebel, Rollen","2.3.2"
"652","2","Arbeit und Energie","2.3.3"
"653","2","Leistung","2.3.4"
"654","NIL","VOID","VOID"
"655","2","Druck","2.4"
"656","2","Flüssigkeiten und Gase","2.4.1"
"657","NIL","VOID","VOID"
"658","NIL","VOID","VOID"
"659","NIL","VOID","VOID"
"660","2","Wärmelehre","2.5"
"661","2","Temperaturskalen und Wärmeausdehnung","2.5.1"
"662","NIL","VOID","VOID"
"663","NIL","VOID","VOID"
"664","NIL","VOID","VOID"
